#,Category,Category CN,Route Label,Chinese Name,Type,Duration (days),Price (USD),Rating,Key Destinations,Highlights,Route ID
14,Profit,最高收益,Chongqing + Chengdu + Jiuzhaigou 7-Day,重庆+成都+九寨沟6日5晚拼小团,Small Group,6,1563,5,重庆+成都+九寨沟6日5晚拼小团,Small group (max 8 pax) - more personal experience ;  Make friends with fellow travelers,7
15,Profit,最高收益,Yichang + Three Gorges + Chongqing 6-Day,宜昌+长江三峡+重庆6日5晚私家团,Private Tour,6,2979,5,宜昌+长江三峡+重庆6日5晚私家团,World-famous Three Gorges - once-in-a-lifetime cruise ;  Ancient Ba culture and cliff coffins ;  Luxury 5-star cruise ship with balcony rooms,29
16,Profit,最高收益,Wulong Deep Dive 5-Day Small Group,重庆+武隆区5日4晚拼小团,Small Group,5,796,5,重庆+武隆区5日4晚拼小团,UNESCO World Heritage Site - stunning natural karst landscape ;  Featured in Transformers 4 movie location ;  Easy hiking with breathtaking views,82
17,Profit,最高收益,Chongqing + Chengdu + Wulong 7-Day Private,重庆+武隆区+成都7日6晚私家团,Private Tour,7,1932,5,重庆+武隆区+成都7日6晚私家团,UNESCO World Heritage Site - stunning natural karst landscape ;  Featured in Transformers 4 movie location ;  Easy hiking with breathtaking views,149
18,Profit,最高收益,Chongqing + Three Gorges + Shennongjia 8-Day,重庆+长江三峡+神农架8日7晚私家团,Private Tour,8,2655,4.7,重庆+长江三峡+神农架8日7晚私家团,World-famous Three Gorges - once-in-a-lifetime cruise ;  Ancient Ba culture and cliff coffins ;  Luxury 5-star cruise ship with balcony rooms,783
19,Profit,最高收益,Chongqing + Wulong + Pengshui 5-Day Small Group,重庆+武隆区+彭水5日4晚拼小团,Small Group,5,870,5,重庆+武隆区+彭水5日4晚拼小团,UNESCO World Heritage Site - stunning natural karst landscape ;  Featured in Transformers 4 movie location ;  Easy hiking with breathtaking views,107
20,Profit,最高收益,Dazu + Wulong 6-Day Private,重庆+大足石刻+武隆天生三桥+龙水峡地缝+仙女山国家森林公园6日5晚私家团,Private Tour,6,2109,5,重庆+大足石刻+武隆天生三桥+龙水峡地缝+仙女山国家森林公园6日5晚私家团,UNESCO World Heritage Site - stunning natural karst landscape ;  Featured in Transformers 4 movie location ;  Easy hiking with breathtaking views,284
21,Niche,小众精品,Pengshui Miao Village + Wujiang Gallery,彭水蚩尤九黎城+万足码头（乌江精华段）游船 一日游,Day Tour,1,133,5,彭水蚩尤九黎城+万足码头乌江精华段游船 一日游,Night cruise on Yangtze & Jialing Rivers ;  Stunning skyline view with colorful lights ;  See Hongyaodong from the water,274
22,Niche,小众精品,Fengdu Ghost City,重庆丰都鬼城名山景区一日游【2-8人小团无购物+亲子游】,Day Tour,1,133,5,重庆丰都鬼城名山景区一日游2-8人小团无购物+亲子游,Perfect for short stay - hit all highlights in one day,506
23,Niche,小众精品,Jinfo Mountain (Nanchuan),南川金佛山+乌江游船一日游含门票,Day Tour,1,162,5,南川金佛山+乌江游船一日游含门票,Night cruise on Yangtze & Jialing Rivers ;  Stunning skyline view with colorful lights ;  See Hongyaodong from the water,627
24,Niche,小众精品,Wuling Mountain Rift Valley,武陵山大裂谷+816一日游【纯玩丨含门票+部分小交通+导游】,Day Tour,1,44,5,武陵山大裂谷+816一日游纯玩丨含门票+部分小交通+导游,Perfect for short stay - hit all highlights in one day,75
25,Niche,小众精品,Gongtan Ancient Town + Wujiang,【含游船】九黎城+龚滩古镇+乌江画廊一日游『纯玩+苗宴』,Day Tour,1,59,5,含游船九黎城+龚滩古镇+乌江画廊一日游『纯玩+苗宴』,"Ancient town with 1700+ years history ;  Try local snacks: 陈麻花, 酸辣粉 ;  Traditional crafts and tea houses",30
26,Niche,小众精品,Wushan Three Little Gorges,船游【两峡一峰 奉节-巫山】巫峡·瞿塘峡·神女峰半日游,Day Tour,0,88,5,船游两峡一峰 奉节-巫山巫峡·瞿塘峡·神女峰半日游,Perfect for short stay - hit all highlights in one day,178
27,Niche,小众精品,Youyang Peach Blossom Spring,彭水+蚩尤九黎城+龚滩古镇乌江画廊+酉阳桃花源景区3日2晚自由行,Free and Easy,3,1549,5,彭水+蚩尤九黎城+龚滩古镇乌江画廊+酉阳桃花源景区3日2晚自由行,"Ancient town with 1700+ years history ;  Try local snacks: 陈麻花, 酸辣粉 ;  Traditional crafts and tea houses",610
28,Niche,小众精品,Hechuan Fishing City (Diaoyu Fortress),重庆合川钓鱼城+涞滩古镇+园博园一日游,Day Tour,1,0,5,重庆合川钓鱼城+涞滩古镇+园博园一日游,"Ancient town with 1700+ years history ;  Try local snacks: 陈麻花, 酸辣粉 ;  Traditional crafts and tea houses",486
29,Niche,小众精品,Jiangjin Simian Mountain,重庆四面山一日游【2-8人小团·无需中转车·江津区·纯玩】,Day Tour,1,133,5,重庆四面山一日游2-8人小团·无需中转车·江津区·纯玩,Perfect for short stay - hit all highlights in one day,582
30,Niche,小众精品,Yunyang Longgang National Geopark,云阳龙缸国家地质公园一日游【自由随心·亲子·家庭1V1客服】,Day Tour,1,133,5,云阳龙缸国家地质公园一日游自由随心·亲子·家庭1V1客服,Perfect for short stay - hit all highlights in one day,566
