序号,产品ID,类型,线路名称,副标题,出发地,携程价格,天数,基础加成价,服务溢价,折扣空间,最终建议价,你的价格,评分,评论数,月销量,图片URL,标签
11,24135330,跟团游,重庆+武隆区5日4晚跟团游,『自营明星款』5/6月免升亚朵+金牌导游丨8人/30人团任选丨全景武隆＆市区经典丨赠船票,重庆出发,1556,5,3500,500元,×1.15,4600,,4.8,94685,3594685,"https://dimg04.c-ctrip.com/images/0303c12000nsw2ybqEB10_R_420_420.jpg?proc=crop/m_c,w_2000,h_2000,x_-1,y_0,g_center,453D","0购物,成团保障"
12,88028139,一日游,武隆天生三桥+蚩尤九黎城+乌江画廊乘坐游船1小时含船票一日游,,重庆出发,423,1,800,100元,×1.15,1000,,4.9,303,600+,https://dimg04.c-ctrip.com/images/0355212000ros2hthE1BD_C_420_420.png,"立即确认,无购物,上门接,有条件退"
13,93626270,一日游,【全景8人内小团】重庆武隆天生三桥+龙水峡地缝+仙女山一日游,,重庆出发,455,1,900,100元,×1.15,1100,,4.9,2734,1K,https://dimg04.c-ctrip.com/images/0350t12000ll1prp70344_C_420_420.jpg,"立即确认,无购物,上门接,有条件退"
14,37867647,私家团,长江三峡+重庆5日4晚私家团,"【咨询客服 升级3楼入住】爸妈放心游【长江美维系列游轮】『五星级移动酒店 入住超大平阳台间饕鬄美食』【8D魔幻重庆市内地标串游】【赠地道川渝火锅】宜进渝出·24H接送,宜昌参团",重庆出发,4033,5,12300,500元,×1.15,14700,,5.0,7414,7414,"https://dimg04.c-ctrip.com/images/0305812000rrbxghd4FAC_R_420_420.png?proc=crop/m_c,w_1536,h_1536,x_35,y_3,g_center,CD27",成团保障
15,89546539,一日游,【全景8人内小团】重庆武隆天生三桥+龙水峡地缝+仙女山,,重庆出发,455,3,900,300元,×1.15,1300,,4.9,5025,700+,https://dimg04.c-ctrip.com/images/0350512000rx7nm2z6D6C_C_420_420.jpg,"立即确认,上门接,有条件退"
16,30584316,一日游,重庆长江索道+磁器口+轻轨穿楼+洪崖洞一日游|无自费|无套路,,重庆出发,123,1,200,100元,×1.15,300,,4.9,5767,300+,https://dimg04.c-ctrip.com/images//0580712000ogpvqnlA28C_C_420_420.jpg,"立即确认,无购物,上门接,有条件退"
17,2698229,跟团游,武隆区2日1晚跟团游,『金牌导游带队丨8人团/30人团任选』武隆全景 ·仙女山+天生三桥+地缝+芙蓉洞+乌江画廊,重庆出发,795,2,1700,200元,×1.15,2100,,4.8,5460,2,"https://dimg04.c-ctrip.com/images/0300o12000sfy0t94394A_R_420_420.jpg?proc=crop/m_c,w_2000,h_2000,x_-46,y_388,g_center,EED1","0购物,成团保障"
18,19469025,跟团游,宜昌+长江三峡+重庆6日5晚跟团游,美维邮轮&180度江景阳台房+华美达酒店+5早6正自助餐 赠3景游+三峡核心段 重庆精华景点,重庆出发,2548,6,5700,600元,×1.15,7200,,4.9,76369,2776369,"https://dimg04.c-ctrip.com/images/0304512000ljbfx9o2AFD_R_420_420.jpg?proc=crop/m_c,w_1280,h_1280,x_0,y_0,g_center,D261","0购物,成团保障"
19,68364014,一日游,【纯玩·小团】仙女山森林公园+武隆天生三桥+乌江画廊一日游,,重庆出发,363,1,700,100元,×1.15,900,,4.8,309,300+,https://dimg04.c-ctrip.com/images/0356612000qox64z7BA01_C_420_420.jpg,"立即确认,无购物,上门接,有条件退"
20,52034707,自由行,重庆+长江三峡+宜昌4日3晚自由行,美维系列邮轮&3晚连宿180度一线江景阳台房·全程中西自助餐，游轮含三峡大坝+神女溪+双桂山+船游巫峡+瞿塘峡，单人可拼房,重庆出发,1524,4,4100,400元,×1.15,5100,,4.9,386,386,"https://dimg04.c-ctrip.com/images/0581b12000rj338ms1B4C_R_420_420.jpg?proc=crop/m_c,w_1280,h_1280,x_0,y_0,g_center,D261",
21,47698250,一日游,奉节白帝城·瞿塘峡景区+三峡之巅一日游 精品纯玩团·含大门票,,奉节出发,268,1,500,100元,×1.15,600,,4.9,1169,200+,https://dimg04.c-ctrip.com/images/0352b12000nu2naoj8416_C_420_420.jpg,"立即确认,无购物,上门接,有条件退"
22,33982623,拼小团,重庆+武隆区5日4晚拼小团,『武陵魔方·8人封顶』纯玩·解放碑酒店·两江游船+云端之眼·武隆奇观+市区网红·专车接送,重庆出发,1779,5,4300,500元,×1.15,5500,,4.8,23279,1423279,"https://dimg04.c-ctrip.com/images/0300k12000a3856rrFAAD_C_420_420.jpg?proc=crop/m_c,w_1199,h_1200,x_335,y_0,B3CD","免费退,0购物,成团保障,0自费"
23,58871522,私家团,成都+重庆5日4晚私家团,【错峰出行~咨询领优惠】魔幻山城City walk .打卡解放碑洪崖洞|李子坝+蓉城看“软糯”大熊猫|三星堆-赠2H+精讲|都江堰|青城山【双城动车】限时免费送天府机场+儿童赠景区门票+赠长江索道单程,重庆出发,3138,5,9500,500元,×1.15,11500,,4.8,113,113,"https://dimg04.c-ctrip.com/images/0304812000j6y5w4e9300_C_420_420.jpg?proc=crop/m_c,w_1200,h_1200,x_400,y_150,C902","免费退,成团保障"
24,70323453,自由行,重庆+重庆长江三峡游船+宜昌4日3晚自由行,赠重庆一日游【总统系列游轮-总统6号·1.2万吨大船】『住独立江景阳台房·游轮中西自助美食』船观瞿塘巫峡胜景，赠岸上游：丰都鬼城/神农溪/三峡大坝，重庆登船,重庆出发,1857,4,5100,400元,×1.15,6300,,,,3,"https://dimg04.c-ctrip.com/images/0301812000p5wuf1l4C95_R_420_420.jpg?proc=crop/m_c,w_1080,h_1080,x_13,y_0,g_center,C6CC",
25,18022280,一日游,长江索道+磁器口+白公馆+渣滓洞+轻轨穿楼+洪崖洞市区一日游,,重庆出发,123,1,200,100元,×1.15,300,,4.9,1594,200+,https://dimg04.c-ctrip.com/images/0352u12000p966onpC958_C_420_420.png,"立即确认,上门接,有条件退"
26,70637594,拼小团,武隆天生三桥+蚩尤九黎城+龚滩古镇乌江画廊+重庆2日1晚拼小团,8人精致纯玩小团 天生三桥+九黎城+龚滩古镇+乌江画廊 主城五区上门接 夜宿四钻酒店,重庆出发,734,2,1700,200元,×1.15,2100,,4.9,172,172,https://dimg04.c-ctrip.com/images/0302b12000sbazq7iBB75_C_420_420.png,"免费退,立即确认,0购物,成团保障,上门接"
27,93996286,一日游,【可选8人小团】白鹤梁水下博物馆+816工程+大裂谷一日游,,重庆出发,268,1,500,100元,×1.15,600,,4.9,304,200+,https://dimg04.c-ctrip.com/images/0352p12000r775fjtB38F_C_420_420.jpg,"立即确认,有条件退"
28,102391658,一日游,【团型多选·可选坐游船】武隆天生三桥+龙水峡地缝+乌江一日游,,重庆出发,338,1,600,100元,×1.15,800,,4.9,,200+,https://dimg04.c-ctrip.com/images/0354d12000satszqlF6F5_C_420_420.jpg,"立即确认,无购物,有条件退"
29,40601987,私家团,宜昌+长江三峡+重庆6日5晚私家团,世纪邮轮&180度一线江景阳台房+宿重庆华美达品牌酒店｜7天外船票免费退+全程中西自助餐+赠登船晚餐｜重庆精华线路4选1&长江三峡核心景区,重庆出发,5591,6,17000,600元,×1.15,20200,,5.0,526,526,"https://dimg04.c-ctrip.com/images/0303a12000mcjiu4f7F31_R_420_420.jpg?proc=crop/m_c,w_1280,h_1280,x_0,y_0,g_center,D261","免费退,成团保障"
30,107356918,一日游,【含游船】九黎城+龚滩古镇+乌江画廊一日游『纯玩+苗宴』,,重庆出发,168,1,300,100元,×1.15,400,,5.0,,100+,https://dimg04.c-ctrip.com/images/0350p12000shke32m0C20_C_420_420.jpg,"立即确认,无购物,有条件退"
31,93499562,一日游,数字影院+宝顶山+北山+大足石刻博物馆+大足石刻一日游拼小团,,重庆出发,333,1,600,100元,×1.15,800,,4.9,394,100+,https://dimg04.c-ctrip.com/images//0586k12000rckq0ai267D_C_420_420.jpg,"立即确认,无购物,上门接,有条件退"
32,21173879,拼小团,武隆区2日1晚拼小团,『全景武隆·8人团』仙女山+天坑+地缝+芙蓉洞+芙蓉江|9点晚出发·优选2年内新车|上门接,重庆出发,799,2,1900,200元,×1.15,2400,,4.8,081273,65081273,"https://dimg04.c-ctrip.com/images/0306x12000nanq2u4CF50_C_420_420.jpg?proc=crop/m_c,w_800,h_800,x_0,y_269,1FFE","免费退,0购物,成团保障,上门接"
33,61764372,拼小团,成都+重庆+三星堆博物馆4日3晚拼小团,两江夜游船&三星堆含讲解+看大熊猫|8人团纯玩|5钻酒店&赠重庆+双流/天府24h接送机/站,重庆出发,2120,4,5100,400元,×1.15,6300,,5.0,123,123,"https://dimg04.c-ctrip.com/images/0300z12000k19fwm2638D_C_420_420.jpg?proc=crop/m_c,w_720,h_720,x_280,y_0,B6AF","0购物,成团保障,0自费"
34,33861655,跟团游,历史人文•重庆成都双城7日亲子营|洪崖洞，仙女山，都江堰，青城山，武侯祠，磁器口，武隆天坑，川剧变脸，大熊猫基地，三星堆博物馆，风流巴蜀，相悦蓉渝游学营！8岁以上可单飞,,重庆出发,6980,3,15700,300元,×1.15,18400,,,,2,https://dimg04.c-ctrip.com/images/0306112000jb7gdwa5F3A_C_420_420.jpg,0购物
35,40885119,自由行,重庆+长江三峡+武汉6日5晚自由行,世纪邮轮&7天外船票免费退｜宿180度一线江景阳台房+重庆武汉5钻酒店自由选住｜游轮全程自助餐+指定酒水畅饮+赠登船晚餐及夜宵｜长江三峡核心景区+包含三大上岸游览景点,重庆出发,4667,6,12800,600元,×1.15,15400,,5.0,154,154,"https://dimg04.c-ctrip.com/images/0580q12000rj2l1pzD965_R_420_420.jpg?proc=crop/m_c,w_1280,h_1280,x_0,y_0,g_center,D261",免费退
36,89499458,一日游,【特色游船】 816核工程（赠讲解）+武陵山大裂谷8人小团,,重庆出发,268,3,500,300元,×1.15,900,,4.9,1031,200+,https://dimg04.c-ctrip.com/images/0355l12000jn4j970347F_C_420_420.jpg,"立即确认,无购物,上门接,有条件退"
37,24182489,跟团游,重庆+武隆区5日4晚跟团游,『自营旗舰款』可升级8人团+金牌导游服务·赠夜景船票丨仙女山天坑地缝芙蓉洞+网红山城,重庆出发,1812,5,4000,500元,×1.15,5100,,4.9,62186,962186,"https://dimg04.c-ctrip.com/images/0306n12000o8k0b1mCCC0_R_420_420.jpg?proc=crop/m_c,w_2000,h_2000,x_0,y_0,g_center,0D6C","0购物,成团保障"
38,42022193,私家团,重庆+长江三峡+三峡大坝+宜昌5日4晚私家团,【咨询客服领重庆火锅卷#享优惠预定】世纪游轮『180度一线阳台江景房/免费WIFI/码头行李搬运+赠登船晚餐观巫峡·瞿塘峡·神女峰+沿途3大精华上岸游览,重庆出发,5093,5,15500,500元,×1.15,18400,,,,9,"https://dimg04.c-ctrip.com/images/0302912000shijvy1B9E5_R_420_420.jpg?proc=crop/m_c,w_1080,h_1080,x_34,y_-39,g_center,60D8",成团保障
39,65128937,自由行,重庆+长江三峡+宜昌4日3晚自由行,总统八号/总统游轮/三峡游轮/长江三峡游轮/4天3晚/选赠重庆一日游/老人游三峡/老友会/爸妈放心游/江景阳台房,重庆出发,1928,4,5300,400元,×1.15,6500,,,,5,https://dimg04.c-ctrip.com/images/0305o12000ohr8oof1D8A_C_420_420.jpg,
40,57612240,一日游,大足石刻一日游丨签约《重庆市讲解大赛亚军》讲解员丨大足本地社,,重庆出发,145,1,200,100元,×1.15,300,,4.9,622,200+,https://dimg04.c-ctrip.com/images/0351812000rt9d4si967B_C_420_420.jpg,"立即确认,无购物,上门接,有条件退"
41,39728344,拼小团,重庆+武隆区+大足石刻6日5晚拼小团,宿解放碑『赠两江夜游+树顶漫步+印象武隆』+5A『大裂谷+天坑+仙女山』+大足石刻+市区,重庆出发,2244,6,5400,600元,×1.15,6800,,4.8,34051,34051,"https://dimg04.c-ctrip.com/images/0305j12000rr38izh0750_R_420_420.jpg?proc=crop/m_c,w_1280,h_1280,x_0,y_0,g_center,D261","立即确认,0购物,成团保障,0自费"
42,89227375,一日游,【配导游】重庆长江索道+轻轨穿楼+洪崖洞+磁器口1日游免儿童,,重庆出发,98,1,100,100元,×1.15,200,,4.9,1932,300+,https://dimg04.c-ctrip.com/images/0350612000ocen7dg0CA9_C_420_420.jpg,"立即确认,无购物,上门接,有条件退"
43,37575214,一日游,【8人小团含讲解】宝顶山+北山+博物馆+大足石刻一日游,,重庆出发,303,1,600,100元,×1.15,800,,4.9,1993,100+,https://dimg04.c-ctrip.com/images/0355j12000pag7ysz205E_C_420_420.jpg,"立即确认,上门接,有条件退"
44,40602714,私家团,宜昌+长江三峡+重庆5日4晚私家团,咨询客服领券享95折，世纪邮轮&180度一线江景阳台房+全程中西自助餐｜7天外船票免费退，重庆市区精华线路4选1&长江三峡核心景区精华段,重庆出发,5339,5,16200,500元,×1.15,19200,,5.0,193,193,"https://dimg04.c-ctrip.com/images/0301e12000l674e5hB2A0_R_420_420.jpg?proc=crop/m_c,w_1280,h_1280,x_0,y_0,g_center,D261","免费退,成团保障"
45,93423523,一日游,【8人团】武隆天生三桥+仙女山森林公园+乌江画廊观景台一日游,,重庆出发,358,1,700,100元,×1.15,900,,4.8,231,100+,https://dimg04.c-ctrip.com/images/0351x12000ofzzsu56C86_C_420_420.jpg,"立即确认,无购物,上门接,有条件退"
46,35558879,私家团,宜昌+美国维多利亚游轮+长江三峡+重庆6日5晚私家团,美维邮轮&宿180度一线江景阳台房+重庆华美达酒店，全程自助餐+赠船载wifi，长江三峡核心景区+三大上岸景点+船游巫峡+瞿塘峡夔门+重庆经典玩法4选1游览,重庆出发,3230,6,9800,600元,×1.15,11900,,5.0,752,752,"https://dimg04.c-ctrip.com/images/0305s12000mcje4k6659E_R_420_420.jpg?proc=crop/m_c,w_1280,h_1280,x_0,y_0,g_center,D261",成团保障
47,20093105,拼小团,重庆5日4晚拼小团,『封顶8人小团』·入住解放碑酒店·赠两江夜游+城上天幕·畅游叁5A自然胜景·探秘人文秘境,重庆出发,1758,5,4300,500元,×1.15,5500,,4.9,93191,893191,"https://dimg04.c-ctrip.com/images/0304z12000rr31m9v5DAD_R_420_420.jpg?proc=crop/m_c,w_1280,h_1280,x_-18,y_0,g_center,7F29","免费退,0购物,成团保障,0自费"
48,34105488,跟团游,宜昌+长江三峡+重庆+武隆区8日7晚跟团游,世纪邮轮&阳台江景房+自助餐|重庆武隆升头等舱+金牌导游|武隆2日全景游+三峡核心景区,重庆出发,6270,8,14100,800元,×1.15,17100,,5.0,153,153,"https://dimg04.c-ctrip.com/images/03044120008ceh50mED0C_R_420_420.jpg?proc=crop/m_c,w_699,h_699,x_0,y_0,g_center,7F9D","0购物,成团保障"
49,99289078,一日游,巫山小三峡+小小三峡【门票+船票】赠送随船导游讲解,,巫山出发,120,3,200,300元,×1.15,500,,4.9,,300+,https://dimg04.c-ctrip.com/images/0356k12000o9fp06s630A_C_420_420.jpg,"立即确认,无购物,有条件退"
50,67762374,自由行,重庆3日2晚自由行,【寻味山城】省心套餐『自选商圈酒店+微信行程小管家服务』自由打卡山城美景 寻觅山城美食 解锁山城|赠24H接送机/站+重庆市区2-8人纯玩一日游拼团游,重庆出发,534,3,1400,300元,×1.15,1900,,,,6,"https://dimg04.c-ctrip.com/images/0303e12000qozxr0r18BC_R_420_420.jpg?proc=crop/m_c,w_2000,h_2000,x_0,y_0,g_center,0D6C",
51,60395391,一日游,重庆长江索道+李子坝+磁器口+洪崖洞一日游【2-8人小团】,,重庆出发,198,1,300,100元,×1.15,400,,4.9,114,91,https://dimg04.c-ctrip.com/images/0354l12000nphbtne2753_C_420_420.jpg,"立即确认,无购物,上门接,有条件退"
52,33949319,拼小团,重庆+武隆区4日3晚拼小团,『山城经典·8人封顶』体验·两江游船+云端之眼·解放碑酒店·武隆奇观·网红山城·含接送机,重庆出发,1405,4,3400,400元,×1.15,4300,,4.6,37170,837170,"https://dimg04.c-ctrip.com/images/0302g12000lrnzo0aF97E_C_420_420.jpg?proc=crop/m_c,w_1472,h_1472,x_796,y_85,C53C","免费退,0购物,成团保障,0自费"
53,58220749,私家团,重庆4日3晚私家团,"端午、暑期预售，咨询【旅行管家】报名下单领现金立减+美食补贴,赠两江夜游船票『核心商圈4钻酒店自选』打卡市内网红景点『山城步道+龙门浩老街+洪崖洞+磁器口』免费接送机/站，行程可调+线上管家",重庆出发,1930,4,5800,400元,×1.15,7100,,5.0,254,254,"https://dimg04.c-ctrip.com/images/0300g12000qu4puav5EF8_R_420_420.png?proc=crop/m_c,w_1440,h_1440,x_0,y_0,g_center,E7C1",成团保障
54,72528756,自由行,重庆+长江三峡+武汉6日5晚自由行,长江记忆号游轮/长江记忆/黄金系列游轮/六天五晚/重庆登船/选赠重庆市内一日游/三峡游轮/豪华游轮/老人出游/180度江景标准阳台房,重庆出发,4049,6,11100,600元,×1.15,13400,,,,,"https://dimg04.c-ctrip.com/images/0300112000sg30euxF01D_R_420_420.jpg?proc=crop/m_c,w_1500,h_1500,x_-58,y_36,g_center,A7D1",
55,89546564,一日游,武隆天生三桥+蚩尤九黎城+乌江画廊游船1小时含船票一日游,,重庆出发,426,1,800,100元,×1.15,1000,,4.9,2424,100+,https://dimg04.c-ctrip.com/images/0355812000rxdv5w71D84_C_420_420.jpg,"立即确认,无购物,上门接,有条件退"
56,58290078,跟团游,重庆+武隆区4日3晚跟团游,『自营经典款』5/6月免升亚朵+金牌导游讲解丨武隆&市区丨保姆车丨赠夜游船票+专车接送,重庆出发,1381,4,3100,400元,×1.15,4000,,4.9,11229,11229,"https://dimg04.c-ctrip.com/images/0300a12000ndt9u8k3C67_R_420_420.jpg?proc=crop/m_c,w_2000,h_2000,x_0,y_0,g_center,0D6C","免费退,0购物,成团保障"
57,60312972,一日游,1-8人纯玩团|蚩尤九黎城赠人工讲解+龚滩古镇+乌江画廊游船,,重庆出发,293,3,500,300元,×1.15,900,,4.9,257,100+,https://dimg04.c-ctrip.com/images/0353c12000njimj0aFE33_C_420_420.jpg,"立即确认,无购物,上门接,有条件退"
58,68196313,自由行,重庆4日3晚自由行,【寻味山城】省心套餐『自选商圈携程4钻酒店+微信行程小管家服务』多种玩法可选 自由打卡山城美景 寻觅山城美食|赠24H接送机/站+市区经典2-8人纯玩一日游拼团游|解锁山城烟火江湖,重庆出发,689,4,1800,400元,×1.15,2500,,,,2,"https://dimg04.c-ctrip.com/images/0306e12000r0u2fnj2E98_R_420_420.jpg?proc=crop/m_c,w_2000,h_2000,x_0,y_0,g_center,0D6C",
59,62310906,私家团,重庆+成都+九寨沟7日6晚私家团,【错峰出游~点击领福利】【限时升级天府机场送机】私享专车出行.不拼团「含双城动车二等座」蓉城看大熊猫|探三星堆|都江堰|畅游九寨黄龙&山城打卡解放碑洪崖洞|李子坝,重庆出发,5495,7,16700,700元,×1.15,20000,,5.0,,21,"https://dimg04.c-ctrip.com/images/0303412000of7ohns75E2_R_420_420.jpg?proc=crop/m_c,w_1440,h_1440,x_0,y_0,g_center,E7C1","免费退,成团保障"
60,101543063,一日游,【纯玩·热销】正宗乌江画廊+九黎城+龚滩古镇一日游,,重庆出发,138,1,200,100元,×1.15,300,,4.7,,100+,https://dimg04.c-ctrip.com/images/0350712000np6nhcdFBB4_C_420_420.jpg,"立即确认,无购物,有条件退"
61,40618995,私家团,宜昌+长江三峡+重庆5日4晚私家团,美维邮轮·宿180度一线江景阳台房+全程自助餐｜长江三峡核心精华段+赠三景上岸游+船游巫峡+瞿塘峡+夔门&重庆一日精华线路四选一,重庆出发,3011,5,9100,500元,×1.15,11000,,5.0,133,133,"https://dimg04.c-ctrip.com/images/0300t12000roo4kmc902E_R_420_420.jpg?proc=crop/m_c,w_1280,h_1280,x_0,y_0,g_center,D261",成团保障
62,28855830,跟团游,重庆+武隆区3日2晚跟团游,『性价比款』精华路线&武隆+市区&金牌导游+陆地保姆车+特色竹笼宴+2晚高口碑酒店,重庆出发,1006,3,2200,300元,×1.15,2800,,4.9,02251,1402251,"https://dimg04.c-ctrip.com/images/0302p12000l59s8n48119_C_420_420.jpg?proc=crop/m_c,w_1200,h_1200,x_150,y_400,2716","0购物,成团保障"
63,62316858,拼小团,重庆+成都+武隆区5日4晚拼小团,8人内小团｜赠两江夜游船+三星堆或都江堰含导游精讲+天生三桥&仙女山大草原+24h接送机,重庆出发,3542,5,8600,500元,×1.15,10400,,5.0,,21,"https://dimg04.c-ctrip.com/images/0305a12000k76iq7r3000_C_420_420.jpg?proc=crop/m_c,w_1114,h_1114,x_433,y_0,65E0","0购物,成团保障"
64,104533402,一日游,【高品纯玩】重庆大足石刻宝顶山+北山石刻+博物馆一日游,,重庆出发,128,1,200,100元,×1.15,300,,5.0,,89,https://dimg04.c-ctrip.com/images/0354p12000lmgu4x4C892_C_420_420.jpg,"立即确认,无购物,有条件退"
65,69506255,自由行,重庆4日3晚自由行,节后错峰「降幅真的大」!咨询客服整单优惠！【超级自由行】自选酒店随心组合|推荐玩法：十八梯 & 山城巷 来福士、长江索道 李子坝轻轨站【热门玩法推荐，咨询客服加购用车，24h微管家】,重庆出发,584,4,1600,400元,×1.15,2300,,,,1,"https://dimg04.c-ctrip.com/images/0300312000roex8yyA4E8_R_420_420.jpg?proc=crop/m_c,w_1080,h_1080,x_0,y_0,g_center,1E83",
66,93626626,一日游,【8人团|2年内新车】 武隆天生三桥+仙女山森林公园一日游,,重庆出发,365,1,700,100元,×1.15,900,,4.8,486,100+,https://dimg04.c-ctrip.com/images//0586i12000nrfa4rf2C80_C_420_420.jpg,"立即确认,上门接,有条件退"
67,36201585,拼小团,重庆3日2晚拼小团,『8人团·两江游船+云端之眼』升级5钻·魔幻山城·长江索道+轻轨穿楼+洪崖洞·专车接送机,重庆出发,864,3,2100,300元,×1.15,2700,,4.9,10313,10313,"https://dimg04.c-ctrip.com/images/0306t12000pia43oh2EC6_R_420_420.png?proc=crop/m_c,w_3144,h_3144,x_0,y_0,g_center,A253","0购物,成团保障,0自费"
68,59406365,私家团,成都+重庆5日4晚私家团,【错峰出游~点击领福利】【玩转川渝双城】魔幻山城City walk 网红打卡解放碑洪崖洞|李子坝+天府蓉城看大熊猫|三星堆-赠讲解|武侯祠|杜甫草堂【含双城动车二等座】限时免费送天府机场,重庆出发,2548,5,7700,500元,×1.15,9400,,,,,"https://dimg04.c-ctrip.com/images/0300g12000of7ohnlC878_R_420_420.jpg?proc=crop/m_c,w_1440,h_1440,x_0,y_0,g_center,E7C1","免费退,成团保障"
69,69244220,自由行,重庆+长江三峡4日3晚自由行,楚天游轮长江如歌神话『180度一线江景阳台房|赠登船晚餐·深夜食堂·指定酒水畅饮+含5大下船精华景点|可自选升船机+长江三峡核心景区：瞿塘胜景·秀美巫峡』重庆到宜昌航线,重庆出发,2764,4,7600,400元,×1.15,9200,,,,,"https://dimg04.c-ctrip.com/images/0585o12000rigzffv95D5_R_420_420.jpg?proc=crop/m_c,w_800,h_800,x_0,y_0,g_center,3BA8",
70,68381909,一日游,【双景区官方人工讲解】816工程景区+白鹤梁水下博物馆一日游,,重庆出发,183,1,300,100元,×1.15,400,,4.8,,100+,https://dimg04.c-ctrip.com/images/0356812000ivx5hd2A94F_C_420_420.jpg,"立即确认,无购物,上门接,有条件退"
71,30086874,拼小团,武隆区2日1晚拼小团,『全景武隆·8人团』仙女山+天坑+地缝+芙蓉洞+芙蓉江|9点晚出发·优选2年内新车|上门接,重庆出发,967,2,2300,200元,×1.15,2800,,4.8,24367,24367,"https://dimg04.c-ctrip.com/images/0305912000n9bs9ef7B9B_C_420_420.jpg?proc=crop/m_c,w_1500,h_1500,x_0,y_250,BE39","0购物,成团保障,上门接"
72,42560773,一日游,重庆大足石刻一日游【vip包车、一单一团，含门票+景区交通】,,重庆出发,276,1,500,100元,×1.15,600,,5.0,137,81,https://dimg03.c-ctrip.com/images/100v1c000001e2l316759_C_420_420.jpg,"立即确认,无购物,上门接,有条件退"
