序号,产品ID,类型,线路名称,副标题,出发地,携程价格,你的价格,评分,图片URL,标签,路线亮点（外国人关注）,你的专业评价
11,24135330,跟团游,重庆+武隆区5日4晚跟团游,『自营明星款』5/6月免升亚朵+金牌导游丨8人/30人团任选丨全景武隆＆市区经典丨赠船票,重庆出发,1556,4600,4.8,/images/routes/route_24135330.jpg,"0购物,成团保障",UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。 这条路线评分4.8分，口碑很好，放心选。
12,88028139,一日游,武隆天生三桥+蚩尤九黎城+乌江画廊乘坐游船1小时含船票一日游,,重庆出发,423,1000,4.9,/images/routes/route_88028139.png,"立即确认,无购物,上门接,有条件退",UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。 一日游节奏较快，建议穿舒适鞋，带充电宝（拍照耗电）。
13,93626270,一日游,【全景8人内小团】重庆武隆天生三桥+龙水峡地缝+仙女山一日游,,重庆出发,455,1100,4.9,/images/routes/route_93626270.jpg,"立即确认,无购物,上门接,有条件退",UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。 龙水峡地缝较窄，夏季凉爽，是天然空调。
14,37867647,私家团,长江三峡+重庆5日4晚私家团,"【咨询客服 升级3楼入住】爸妈放心游【长江美维系列游轮】『五星级移动酒店 入住超大平阳台间饕鬄美食』【8D魔幻重庆市内地标串游】【赠地道川渝火锅】宜进渝出·24H接送,宜昌参团",重庆出发,4033,14700,5.0,/images/routes/route_37867647.png,成团保障,World-famous Three Gorges - once-in-a-lifetime cruise | Ancient Ba culture and cliff coffins | Luxury 5-star cruise ship with balcony rooms,私家团完全按你的节奏来，老人小孩也不用赶时间。 这条路线评分5.0分，口碑很好，放心选。
15,89546539,一日游,【全景8人内小团】重庆武隆天生三桥+龙水峡地缝+仙女山,,重庆出发,455,1300,4.9,/images/routes/route_89546539.jpg,"立即确认,上门接,有条件退",UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。 龙水峡地缝较窄，夏季凉爽，是天然空调。
16,30584316,一日游,重庆长江索道+磁器口+轻轨穿楼+洪崖洞一日游|无自费|无套路,,重庆出发,123,300,4.9,/images/routes/route_30584316.jpg,"立即确认,无购物,上门接,有条件退",Iconic stilt-house complex - Chongqing's most photogenic spot | Best night view - like real-life Spirited Away | Traditional Bayu architecture with modern lights,洪崖洞最佳拍照时间是日落后30分钟，灯光全开但未过热。 建议从千厮门大桥拍摄全景，比在近处拍更震撼。
17,2698229,跟团游,武隆区2日1晚跟团游,『金牌导游带队丨8人团/30人团任选』武隆全景 ·仙女山+天生三桥+地缝+芙蓉洞+乌江画廊,重庆出发,795,2100,4.8,/images/routes/route_2698229.jpg,"0购物,成团保障",UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。 这条路线评分4.8分，口碑很好，放心选。
18,19469025,跟团游,宜昌+长江三峡+重庆6日5晚跟团游,美维邮轮&180度江景阳台房+华美达酒店+5早6正自助餐 赠3景游+三峡核心段 重庆精华景点,重庆出发,2548,7200,4.9,/images/routes/route_19469025.jpg,"0购物,成团保障",World-famous Three Gorges - once-in-a-lifetime cruise | Ancient Ba culture and cliff coffins | Luxury 5-star cruise ship with balcony rooms,这条路线评分4.9分，口碑很好，放心选。
19,68364014,一日游,【纯玩·小团】仙女山森林公园+武隆天生三桥+乌江画廊一日游,,重庆出发,363,900,4.8,/images/routes/route_68364014.jpg,"立即确认,无购物,上门接,有条件退",UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。 一日游节奏较快，建议穿舒适鞋，带充电宝（拍照耗电）。
20,52034707,自由行,重庆+长江三峡+宜昌4日3晚自由行,美维系列邮轮&3晚连宿180度一线江景阳台房·全程中西自助餐，游轮含三峡大坝+神女溪+双桂山+船游巫峡+瞿塘峡，单人可拼房,重庆出发,1524,5100,4.9,/images/routes/route_52034707.jpg,,World-famous Three Gorges - once-in-a-lifetime cruise | Ancient Ba culture and cliff coffins | Luxury 5-star cruise ship with balcony rooms,这条路线评分4.9分，口碑很好，放心选。
21,47698250,一日游,奉节白帝城·瞿塘峡景区+三峡之巅一日游 精品纯玩团·含大门票,,奉节出发,268,600,4.9,/images/routes/route_47698250.jpg,"立即确认,无购物,上门接,有条件退",World-famous Three Gorges - once-in-a-lifetime cruise | Ancient Ba culture and cliff coffins | Luxury 5-star cruise ship with balcony rooms,一日游节奏较快，建议穿舒适鞋，带充电宝（拍照耗电）。 这条路线评分4.9分，口碑很好，放心选。
22,33982623,拼小团,重庆+武隆区5日4晚拼小团,『武陵魔方·8人封顶』纯玩·解放碑酒店·两江游船+云端之眼·武隆奇观+市区网红·专车接送,重庆出发,1779,5500,4.8,/images/routes/route_33982623.jpg,"免费退,0购物,成团保障,0自费",UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。 小团灵活性高，我可以根据大家兴趣微调行程。
23,58871522,私家团,成都+重庆5日4晚私家团,【错峰出行~咨询领优惠】魔幻山城City walk .打卡解放碑洪崖洞|李子坝+蓉城看“软糯”大熊猫|三星堆-赠2H+精讲|都江堰|青城山【双城动车】限时免费送天府机场+儿童赠景区门票+赠长江索道单程,重庆出发,3138,11500,4.8,/images/routes/route_58871522.jpg,"免费退,成团保障",100% private - only you and your family/friends | Flexible itinerary - change plans anytime | Personal guide & driver at your service,私家团完全按你的节奏来，老人小孩也不用赶时间。 这条路线评分4.8分，口碑很好，放心选。
24,70323453,自由行,重庆+重庆长江三峡游船+宜昌4日3晚自由行,赠重庆一日游【总统系列游轮-总统6号·1.2万吨大船】『住独立江景阳台房·游轮中西自助美食』船观瞿塘巫峡胜景，赠岸上游：丰都鬼城/神农溪/三峡大坝，重庆登船,重庆出发,1857,6300,,/images/routes/route_70323453.jpg,,Night cruise on Yangtze & Jialing Rivers | Stunning skyline view with colorful lights | See Hongyaodong from the water,这条路线经过精心挑选，适合大多数外国游客。 有任何特殊需求（饮食禁忌、行动不便等），提前告诉我。
25,18022280,一日游,长江索道+磁器口+白公馆+渣滓洞+轻轨穿楼+洪崖洞市区一日游,,重庆出发,123,300,4.9,/images/routes/route_18022280.png,"立即确认,上门接,有条件退",Iconic stilt-house complex - Chongqing's most photogenic spot | Best night view - like real-life Spirited Away | Traditional Bayu architecture with modern lights,洪崖洞最佳拍照时间是日落后30分钟，灯光全开但未过热。 建议从千厮门大桥拍摄全景，比在近处拍更震撼。
26,70637594,拼小团,武隆天生三桥+蚩尤九黎城+龚滩古镇乌江画廊+重庆2日1晚拼小团,8人精致纯玩小团 天生三桥+九黎城+龚滩古镇+乌江画廊 主城五区上门接 夜宿四钻酒店,重庆出发,734,2100,4.9,/images/routes/route_70637594.png,"免费退,立即确认,0购物,成团保障,上门接",UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。 小团灵活性高，我可以根据大家兴趣微调行程。
27,93996286,一日游,【可选8人小团】白鹤梁水下博物馆+816工程+大裂谷一日游,,重庆出发,268,600,4.9,/images/routes/route_93996286.jpg,"立即确认,有条件退",Perfect for short stay - hit all highlights in one day,一日游节奏较快，建议穿舒适鞋，带充电宝（拍照耗电）。 这条路线评分4.9分，口碑很好，放心选。
28,102391658,一日游,【团型多选·可选坐游船】武隆天生三桥+龙水峡地缝+乌江一日游,,重庆出发,338,800,4.9,/images/routes/route_102391658.jpg,"立即确认,无购物,有条件退",UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。 龙水峡地缝较窄，夏季凉爽，是天然空调。
29,40601987,私家团,宜昌+长江三峡+重庆6日5晚私家团,世纪邮轮&180度一线江景阳台房+宿重庆华美达品牌酒店｜7天外船票免费退+全程中西自助餐+赠登船晚餐｜重庆精华线路4选1&长江三峡核心景区,重庆出发,5591,20200,5.0,/images/routes/route_40601987.jpg,"免费退,成团保障",World-famous Three Gorges - once-in-a-lifetime cruise | Ancient Ba culture and cliff coffins | Luxury 5-star cruise ship with balcony rooms,私家团完全按你的节奏来，老人小孩也不用赶时间。 这条路线评分5.0分，口碑很好，放心选。
30,107356918,一日游,【含游船】九黎城+龚滩古镇+乌江画廊一日游『纯玩+苗宴』,,重庆出发,168,400,5.0,/images/routes/route_107356918.jpg,"立即确认,无购物,有条件退","Ancient town with 1700+ years history | Try local snacks: 陈麻花, 酸辣粉 | Traditional crafts and tea houses",一日游节奏较快，建议穿舒适鞋，带充电宝（拍照耗电）。 这条路线评分5.0分，口碑很好，放心选。
31,93499562,一日游,数字影院+宝顶山+北山+大足石刻博物馆+大足石刻一日游拼小团,,重庆出发,333,800,4.9,/images/routes/route_93499562.jpg,"立即确认,无购物,上门接,有条件退","UNESCO World Heritage - 5,000+ Buddhist carvings | 1,000+ years of history - Tang & Song dynasties | World-class stone art mastery",大足石刻建议请讲解员，否则就是看石头。我可以帮你安排专业讲解。 宝顶山游览约3小时，穿舒适鞋，有部分爬坡。
32,21173879,拼小团,武隆区2日1晚拼小团,『全景武隆·8人团』仙女山+天坑+地缝+芙蓉洞+芙蓉江|9点晚出发·优选2年内新车|上门接,重庆出发,799,2400,4.8,/images/routes/route_21173879.jpg,"免费退,0购物,成团保障,上门接",UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。 小团灵活性高，我可以根据大家兴趣微调行程。
33,61764372,拼小团,成都+重庆+三星堆博物馆4日3晚拼小团,两江夜游船&三星堆含讲解+看大熊猫|8人团纯玩|5钻酒店&赠重庆+双流/天府24h接送机/站,重庆出发,2120,6300,5.0,/images/routes/route_61764372.jpg,"0购物,成团保障,0自费",Small group (max 8 pax) - more personal experience | Make friends with fellow travelers,小团灵活性高，我可以根据大家兴趣微调行程。 这条路线评分5.0分，口碑很好，放心选。
34,33861655,跟团游,历史人文•重庆成都双城7日亲子营|洪崖洞，仙女山，都江堰，青城山，武侯祠，磁器口，武隆天坑，川剧变脸，大熊猫基地，三星堆博物馆，风流巴蜀，相悦蓉渝游学营！8岁以上可单飞,,重庆出发,6980,18400,,/images/routes/route_33861655.jpg,0购物,UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。 洪崖洞最佳拍照时间是日落后30分钟，灯光全开但未过热。
35,40885119,自由行,重庆+长江三峡+武汉6日5晚自由行,世纪邮轮&7天外船票免费退｜宿180度一线江景阳台房+重庆武汉5钻酒店自由选住｜游轮全程自助餐+指定酒水畅饮+赠登船晚餐及夜宵｜长江三峡核心景区+包含三大上岸游览景点,重庆出发,4667,15400,5.0,/images/routes/route_40885119.jpg,免费退,World-famous Three Gorges - once-in-a-lifetime cruise | Ancient Ba culture and cliff coffins | Luxury 5-star cruise ship with balcony rooms,这条路线评分5.0分，口碑很好，放心选。
36,89499458,一日游,【特色游船】 816核工程（赠讲解）+武陵山大裂谷8人小团,,重庆出发,268,900,4.9,/images/routes/route_89499458.jpg,"立即确认,无购物,上门接,有条件退",Night cruise on Yangtze & Jialing Rivers | Stunning skyline view with colorful lights | See Hongyaodong from the water,一日游节奏较快，建议穿舒适鞋，带充电宝（拍照耗电）。 这条路线评分4.9分，口碑很好，放心选。
37,24182489,跟团游,重庆+武隆区5日4晚跟团游,『自营旗舰款』可升级8人团+金牌导游服务·赠夜景船票丨仙女山天坑地缝芙蓉洞+网红山城,重庆出发,1812,5100,4.9,/images/routes/route_24182489.jpg,"0购物,成团保障",UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。 这条路线评分4.9分，口碑很好，放心选。
38,42022193,私家团,重庆+长江三峡+三峡大坝+宜昌5日4晚私家团,【咨询客服领重庆火锅卷#享优惠预定】世纪游轮『180度一线阳台江景房/免费WIFI/码头行李搬运+赠登船晚餐观巫峡·瞿塘峡·神女峰+沿途3大精华上岸游览,重庆出发,5093,18400,,/images/routes/route_42022193.jpg,成团保障,World-famous Three Gorges - once-in-a-lifetime cruise | Ancient Ba culture and cliff coffins | Luxury 5-star cruise ship with balcony rooms,私家团完全按你的节奏来，老人小孩也不用赶时间。
39,65128937,自由行,重庆+长江三峡+宜昌4日3晚自由行,总统八号/总统游轮/三峡游轮/长江三峡游轮/4天3晚/选赠重庆一日游/老人游三峡/老友会/爸妈放心游/江景阳台房,重庆出发,1928,6500,,/images/routes/route_65128937.jpg,,World-famous Three Gorges - once-in-a-lifetime cruise | Ancient Ba culture and cliff coffins | Luxury 5-star cruise ship with balcony rooms,这条路线经过精心挑选，适合大多数外国游客。 有任何特殊需求（饮食禁忌、行动不便等），提前告诉我。
40,57612240,一日游,大足石刻一日游丨签约《重庆市讲解大赛亚军》讲解员丨大足本地社,,重庆出发,145,300,4.9,/images/routes/route_57612240.jpg,"立即确认,无购物,上门接,有条件退","UNESCO World Heritage - 5,000+ Buddhist carvings | 1,000+ years of history - Tang & Song dynasties | World-class stone art mastery",大足石刻建议请讲解员，否则就是看石头。我可以帮你安排专业讲解。 宝顶山游览约3小时，穿舒适鞋，有部分爬坡。
41,39728344,拼小团,重庆+武隆区+大足石刻6日5晚拼小团,宿解放碑『赠两江夜游+树顶漫步+印象武隆』+5A『大裂谷+天坑+仙女山』+大足石刻+市区,重庆出发,2244,6800,4.8,/images/routes/route_39728344.jpg,"立即确认,0购物,成团保障,0自费",UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。 大足石刻建议请讲解员，否则就是看石头。我可以帮你安排专业讲解。
42,89227375,一日游,【配导游】重庆长江索道+轻轨穿楼+洪崖洞+磁器口1日游免儿童,,重庆出发,98,200,4.9,/images/routes/route_89227375.jpg,"立即确认,无购物,上门接,有条件退",Iconic stilt-house complex - Chongqing's most photogenic spot | Best night view - like real-life Spirited Away | Traditional Bayu architecture with modern lights,洪崖洞最佳拍照时间是日落后30分钟，灯光全开但未过热。 建议从千厮门大桥拍摄全景，比在近处拍更震撼。
43,37575214,一日游,【8人小团含讲解】宝顶山+北山+博物馆+大足石刻一日游,,重庆出发,303,800,4.9,/images/routes/route_37575214.jpg,"立即确认,上门接,有条件退","UNESCO World Heritage - 5,000+ Buddhist carvings | 1,000+ years of history - Tang & Song dynasties | World-class stone art mastery",大足石刻建议请讲解员，否则就是看石头。我可以帮你安排专业讲解。 宝顶山游览约3小时，穿舒适鞋，有部分爬坡。
44,40602714,私家团,宜昌+长江三峡+重庆5日4晚私家团,咨询客服领券享95折，世纪邮轮&180度一线江景阳台房+全程中西自助餐｜7天外船票免费退，重庆市区精华线路4选1&长江三峡核心景区精华段,重庆出发,5339,19200,5.0,/images/routes/route_40602714.jpg,"免费退,成团保障",World-famous Three Gorges - once-in-a-lifetime cruise | Ancient Ba culture and cliff coffins | Luxury 5-star cruise ship with balcony rooms,私家团完全按你的节奏来，老人小孩也不用赶时间。 这条路线评分5.0分，口碑很好，放心选。
45,93423523,一日游,【8人团】武隆天生三桥+仙女山森林公园+乌江画廊观景台一日游,,重庆出发,358,900,4.8,/images/routes/route_93423523.jpg,"立即确认,无购物,上门接,有条件退",UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。 一日游节奏较快，建议穿舒适鞋，带充电宝（拍照耗电）。
46,35558879,私家团,宜昌+美国维多利亚游轮+长江三峡+重庆6日5晚私家团,美维邮轮&宿180度一线江景阳台房+重庆华美达酒店，全程自助餐+赠船载wifi，长江三峡核心景区+三大上岸景点+船游巫峡+瞿塘峡夔门+重庆经典玩法4选1游览,重庆出发,3230,11900,5.0,/images/routes/route_35558879.jpg,成团保障,World-famous Three Gorges - once-in-a-lifetime cruise | Ancient Ba culture and cliff coffins | Luxury 5-star cruise ship with balcony rooms,私家团完全按你的节奏来，老人小孩也不用赶时间。 这条路线评分5.0分，口碑很好，放心选。
47,20093105,拼小团,重庆5日4晚拼小团,『封顶8人小团』·入住解放碑酒店·赠两江夜游+城上天幕·畅游叁5A自然胜景·探秘人文秘境,重庆出发,1758,5500,4.9,/images/routes/route_20093105.jpg,"免费退,0购物,成团保障,0自费",Small group (max 8 pax) - more personal experience | Make friends with fellow travelers,小团灵活性高，我可以根据大家兴趣微调行程。 这条路线评分4.9分，口碑很好，放心选。
48,34105488,跟团游,宜昌+长江三峡+重庆+武隆区8日7晚跟团游,世纪邮轮&阳台江景房+自助餐|重庆武隆升头等舱+金牌导游|武隆2日全景游+三峡核心景区,重庆出发,6270,17100,5.0,/images/routes/route_34105488.jpg,"0购物,成团保障",UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。 这条路线评分5.0分，口碑很好，放心选。
49,99289078,一日游,巫山小三峡+小小三峡【门票+船票】赠送随船导游讲解,,巫山出发,120,500,4.9,/images/routes/route_99289078.jpg,"立即确认,无购物,有条件退",World-famous Three Gorges - once-in-a-lifetime cruise | Ancient Ba culture and cliff coffins | Luxury 5-star cruise ship with balcony rooms,一日游节奏较快，建议穿舒适鞋，带充电宝（拍照耗电）。 这条路线评分4.9分，口碑很好，放心选。
50,67762374,自由行,重庆3日2晚自由行,【寻味山城】省心套餐『自选商圈酒店+微信行程小管家服务』自由打卡山城美景 寻觅山城美食 解锁山城|赠24H接送机/站+重庆市区2-8人纯玩一日游拼团游,重庆出发,534,1900,,/images/routes/route_67762374.jpg,,Carefully selected top attractions | Professional English-speaking guide,这条路线经过精心挑选，适合大多数外国游客。 有任何特殊需求（饮食禁忌、行动不便等），提前告诉我。
51,60395391,一日游,重庆长江索道+李子坝+磁器口+洪崖洞一日游【2-8人小团】,,重庆出发,198,400,4.9,/images/routes/route_60395391.jpg,"立即确认,无购物,上门接,有条件退",Iconic stilt-house complex - Chongqing's most photogenic spot | Best night view - like real-life Spirited Away | Traditional Bayu architecture with modern lights,洪崖洞最佳拍照时间是日落后30分钟，灯光全开但未过热。 建议从千厮门大桥拍摄全景，比在近处拍更震撼。
52,33949319,拼小团,重庆+武隆区4日3晚拼小团,『山城经典·8人封顶』体验·两江游船+云端之眼·解放碑酒店·武隆奇观·网红山城·含接送机,重庆出发,1405,4300,4.6,/images/routes/route_33949319.jpg,"免费退,0购物,成团保障,0自费",UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。 小团灵活性高，我可以根据大家兴趣微调行程。
53,58220749,私家团,重庆4日3晚私家团,"端午、暑期预售，咨询【旅行管家】报名下单领现金立减+美食补贴,赠两江夜游船票『核心商圈4钻酒店自选』打卡市内网红景点『山城步道+龙门浩老街+洪崖洞+磁器口』免费接送机/站，行程可调+线上管家",重庆出发,1930,7100,5.0,/images/routes/route_58220749.png,成团保障,100% private - only you and your family/friends | Flexible itinerary - change plans anytime | Personal guide & driver at your service,私家团完全按你的节奏来，老人小孩也不用赶时间。 这条路线评分5.0分，口碑很好，放心选。
54,72528756,自由行,重庆+长江三峡+武汉6日5晚自由行,长江记忆号游轮/长江记忆/黄金系列游轮/六天五晚/重庆登船/选赠重庆市内一日游/三峡游轮/豪华游轮/老人出游/180度江景标准阳台房,重庆出发,4049,13400,,/images/routes/route_72528756.jpg,,World-famous Three Gorges - once-in-a-lifetime cruise | Ancient Ba culture and cliff coffins | Luxury 5-star cruise ship with balcony rooms,这条路线经过精心挑选，适合大多数外国游客。 有任何特殊需求（饮食禁忌、行动不便等），提前告诉我。
55,89546564,一日游,武隆天生三桥+蚩尤九黎城+乌江画廊游船1小时含船票一日游,,重庆出发,426,1000,4.9,/images/routes/route_89546564.jpg,"立即确认,无购物,上门接,有条件退",UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。 一日游节奏较快，建议穿舒适鞋，带充电宝（拍照耗电）。
56,58290078,跟团游,重庆+武隆区4日3晚跟团游,『自营经典款』5/6月免升亚朵+金牌导游讲解丨武隆&市区丨保姆车丨赠夜游船票+专车接送,重庆出发,1381,4000,4.9,/images/routes/route_58290078.jpg,"免费退,0购物,成团保障",UNESCO World Heritage Site - stunning natural karst landscape | Featured in Transformers 4 movie location | Easy hiking with breathtaking views,武隆是重庆必去！建议穿舒适运动鞋，景区步道较多。 这条路线评分4.9分，口碑很好，放心选。
57,60312972,一日游,1-8人纯玩团|蚩尤九黎城赠人工讲解+龚滩古镇+乌江画廊游船,,重庆出发,293,900,4.9,/images/routes/route_60312972.jpg,"立即确认,无购物,上门接,有条件退","Ancient town with 1700+ years history | Try local snacks: 陈麻花, 酸辣粉 | Traditional crafts and tea houses",一日游节奏较快，建议穿舒适鞋，带充电宝（拍照耗电）。 这条路线评分4.9分，口碑很好，放心选。
58,68196313,自由行,重庆4日3晚自由行,【寻味山城】省心套餐『自选商圈携程4钻酒店+微信行程小管家服务』多种玩法可选 自由打卡山城美景 寻觅山城美食|赠24H接送机/站+市区经典2-8人纯玩一日游拼团游|解锁山城烟火江湖,重庆出发,689,2500,,/images/routes/route_68196313.jpg,,Carefully selected top attractions | Professional English-speaking guide,这条路线经过精心挑选，适合大多数外国游客。 有任何特殊需求（饮食禁忌、行动不便等），提前告诉我。
59,62310906,私家团,重庆+成都+九寨沟7日6晚私家团,【错峰出游~点击领福利】【限时升级天府机场送机】私享专车出行.不拼团「含双城动车二等座」蓉城看大熊猫|探三星堆|都江堰|畅游九寨黄龙&山城打卡解放碑洪崖洞|李子坝,重庆出发,5495,20000,5.0,/images/routes/route_62310906.jpg,"免费退,成团保障",100% private - only you and your family/friends | Flexible itinerary - change plans anytime | Personal guide & driver at your service,私家团完全按你的节奏来，老人小孩也不用赶时间。 这条路线评分5.0分，口碑很好，放心选。
